id	title	description	google_product_category	product_type	link	image_link	additional_image_link	condition	availability	availability_date	price	brand	mpn	shipping(price)
1014LNSA	Collin Sofa in Sand Linen	The Collin Sofa brings a throwback feel to the furniture world while remaining modern with fresh lines and rounded seat and back cushions.	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/collin-sofa-in-sand-linen.html	http://www.capsulehome.com/media/catalog/product/1/0/1014LNSA_content_w.jpg.jpg		new	in stock		999	VOLO	1014LNSA	0.00 USD
1015FTGRYL	"Quincy Sectional Sofa in Grey Tweed, Left Chaise"	All hail the Quincy sofa.  Ultra-cool.  Ultra-modern.  It has fresh lines with rounded seat and back cushions that scream cool and contemporary.	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/quincy-setional-sofa-in-grey-tweed-left-chaise.html	http://www.capsulehome.com/media/catalog/product/1/0/1015FTGRYL-content-w.jpg.jpg		new	in stock		1799	VOLO	1015FTGRYL	0.00 USD
1015FTGRYR	"Quincy Sectional Sofa in Grey Tweed, Right Chaise"	All hail the Quincy sofa.  Ultra-cool.  Ultra-modern.  It has fresh lines with rounded seat and back cushions that scream cool and contemporary.	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/quincy-setional-sofa-in-grey-tweed-right-chaise.html	http://www.capsulehome.com/media/catalog/product/1/0/1015FTGRYR-content-w.jpg.jpg		new	in stock		1799	VOLO	1015FTGRYR	0.00 USD
1015LNCHL	"Quincy Sectional Sofa in Charcoal Blue, Left Chaise"	All hail the Quincy sofa.  Ultra-cool.  Ultra-modern.  It has fresh lines with rounded seat and back cushions that scream cool and contemporary.	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/quincy-setional-sofa-in-charcoal-blue-left-chaise.html	http://www.capsulehome.com/media/catalog/product/1/0/1015LNCHL-content-w.jpg.jpg		new	in stock		1799	VOLO	1015LNCHL	0.00 USD
1015LNCHR	"Quincy Sectional Sofa in Charcoal Blue, Right Chaise"	All hail the Quincy sofa.  Ultra-cool.  Ultra-modern.  It has fresh lines with rounded seat and back cushions that scream cool and contemporary.	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/quincy-setional-sofa-in-charcoal-blue-right-chaise.html	http://www.capsulehome.com/media/catalog/product/1/0/1015LNCHR-content-w.jpg.jpg		new	in stock		1799	VOLO	1015LNCHR	0.00 USD
1015LNWHTL	"Quincy Sectional Sofa in White Linen, Left Chaise"	All hail the Quincy sofa.  Ultra-cool.  Ultra-modern.  It has fresh lines with rounded seat and back cushions that scream cool and contemporary.	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/quincy-setional-sofa-in-white-linen-left-chaise.html	http://www.capsulehome.com/media/catalog/product/1/0/1015LNWHTL-content-w.jpg.jpg		new	in stock		1799	VOLO	1015LNWHTL	0.00 USD
1015LNWHTR	"Quincy Sectional Sofa in White Linen, Right Chaise"	All hail the Quincy sofa.  Ultra-cool.  Ultra-modern.  It has fresh lines with rounded seat and back cushions that scream cool and contemporary.	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/quincy-setional-sofa-in-white-linen-right-chaise.html	http://www.capsulehome.com/media/catalog/product/1/0/1015LNWHTR-content-w.jpg.jpg		new	in stock		1799	VOLO	1015LNWHTR	0.00 USD
1017FTGRYL	"Milton Sectional in Grey Tweed, Left Chaise"	All hail the Milton sofa.  Ultra-cool.  Ultra-modern.  It has fresh lines with rounded seat and back cushions that scream cool and contemporary.	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/milton-sectional-in-grey-tweed-left-chaise.html	http://www.capsulehome.com/media/catalog/product/1/0/1017FTGRYL-content-w.jpg.jpg		new	in stock		1799	VOLO	1017FTGRYL	0.00 USD
1017FTGRYR	"Milton Sectional in Grey Tweed, Right Chaise"	All hail the Milton sofa.  Ultra-cool.  Ultra-modern.  It has fresh lines with rounded seat and back cushions that scream cool and contemporary.	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/milton-sectional-in-grey-tweed-right-chaise.html	http://www.capsulehome.com/media/catalog/product/1/0/1017FTGRYR-content-w.jpg.jpg		new	in stock		1799	VOLO	1017FTGRYR	0.00 USD
1017LTHSTL	"Milton Sectional in Stone Leather, Left Chaise"	All hail the Milton sofa.  Ultra-cool.  Ultra-modern.  It has fresh lines with rounded seat and back cushions that scream cool and contemporary.	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/milton-sectional-in-stone-leather-left-chaise.html	http://www.capsulehome.com/media/catalog/product/1/0/1017LTHSTL-content-w.jpg.jpg		new	in stock		2299	VOLO	1017LTHSTL	0.00 USD
1017LTHSTR	"Milton Sectional in Stone Leather, Right Chaise"	All hail the Milton sofa.  Ultra-cool.  Ultra-modern.  It has fresh lines with rounded seat and back cushions that scream cool and contemporary.	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/milton-sectional-in-stone-leather-right-chaise.html	http://www.capsulehome.com/media/catalog/product/1/0/1017LTHSTR-content-w.jpg.jpg		new	in stock		2299	VOLO	1017LTHSTR	0.00 USD
1017LTHWHTL	"Milton Sectional in White Leather, Left Chaise"	All hail the Milton sofa.  Ultra-cool.  Ultra-modern.  It has fresh lines with rounded seat and back cushions that scream cool and contemporary.	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/milton-sectional-in-white-leather-left-chaise.html	http://www.capsulehome.com/media/catalog/product/1/0/1017lthwhtl-content-w.jpg		new	in stock		2299	VOLO	1017LTHWHTL	0.00 USD
1017LTHWHTR	"Milton Sectional in White Leather, Right Chaise"	All hail the Milton sofa.  Ultra-cool.  Ultra-modern.  It has fresh lines with rounded seat and back cushions that scream cool and contemporary.	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/milton-sectional-in-white-leather-right-chaise.html	http://www.capsulehome.com/media/catalog/product/1/0/1017whtr-content-w.jpg		new	in stock		2299	VOLO	1017LTHWHTR	0.00 USD
1018FTGRY	Frey Sofa in Grey Tweed	"With its fresh lines and rounded off seat and back cushions, the Frey sofa knows about the ‰ÛÏcool factor.‰Û  It‰Ûªs modern, it‰Ûªs classic, it‰Ûªs exactly what it wants to be."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/frey-sofa-in-grey-tweed.html	http://www.capsulehome.com/media/catalog/product/1/0/1018FTGRY-content-w.jpg.jpg		new	in stock		1299	VOLO	1018FTGRY	0.00 USD
