"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","gallery","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","quote_author","quote_role","feature_title","feature_image","feature_title2","feature_image2","feature_title3","feature_title4","feature_image3","feature_image4","quote_avatar","dimensions_diagram","delivery_time","general_dimensions","packaging_dimensions","frame","legs","suspension","filling","fabric","care","assembly","seating_height","featured_name","descriptive_name","outdoor","stackable","finish","material","adjustable","bulb","switch","price","special_price","weight","msrp","price_typical","manufacturer","color","status","is_recurring","visibility","enable_googlecheckout","tax_class_id","description","short_description","meta_keyword","custom_layout_update","quote","feature_content2","feature_content","feature_content3","feature_content4","dimensions","details","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites"
"admin","base","Default","simple","25","135-3","0","L, Black","","","","","","","l-black","l-black.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","Julia","Volo Advocate","Modern Style","/1/3/135_black_c_context2.jpg","Get the Look","/1/3/135_black_all_2.jpg","Built to Last","Plug and Shine","/1/3/135_black_c_context.jpg","/1/3/135_black_all2_2.jpg","no_selection","no_selection","10 - 14 weeks","","","","","","","","","Not required","","L, Black","","No","","Black outside, Gold inside","","","Requires max 60W* E26 bulb x1 - not included","No switch","69.0000","","2.0000","","138.0000","","","Enabled","No","Catalog, Search","Yes","Taxable Goods","","","","","I bought all three styles and hung them at different heights above my dining table to create a modern sophisticated look!","Select a combination of three styles in the collection to create the perfect ambience","This unique and tear drop style pendant light will add a touch of modern to any living space.","A durable, high quality metal shape with a smooth transition to the ceiling.  Inside is plated with a beautiful gold that glow with the light","Assembly is easy and 60w lightbulb is needed for immediate use!","","","","","","","","","8.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","L, Black","0","simple","",""
"admin","base","Default","simple","25","135-3-WHT","0","L, White","","","","","","","l-white","l-white.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","Julia","Volo Advocate","Modern Style","/1/3/135_white_c_context2.jpg","Get the Look","/1/3/135_white_all_2.jpg","Built to Last","Plug and Shine","/1/3/135_white_c_context.jpg","/1/3/135_white_all2_2.jpg","no_selection","no_selection","10 - 14 weeks","","","","","","","","","Not required","","L, White","","No","","White outside, Gold inside","","","Requires max 60W* E26 bulb x1 - not included","No switch","69.0000","","2.0000","","138.0000","","","Enabled","No","Catalog, Search","Yes","Taxable Goods","","","","","I bought all three styles and hung them at different heights above my dining table to create a modern sophisticated look!","Select a combination of three styles in the collection to create the perfect ambience","This unique and tear drop style pendant light will add a touch of modern to any living space.","A durable, high quality metal shape with a smooth transition to the ceiling.  Inside is plated with a beautiful gold that glow with the light","Assembly is easy and 60w lightbulb is needed for immediate use!","","","","","","","","","8.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","L, White","0","simple","",""
"admin","base","Default","simple","24","136-BLK","0","M, Black","","","","","","","m-black","m-black.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","Clara","Graphic Designer","Playful Modern","/1/3/136_black_thumb2.jpg","Built to Last","/1/3/136_all_context2.jpg","Color Combo","Complete Collection","/1/3/136-black_context_3.jpg","/1/3/136-black_context_2.jpg","no_selection","no_selection","10 - 14 weeks","","","","","","","","","Not required","","M, Black","","No","","Satin chrome - black","","","Requires max 40W* E26 bulb x1 - not included","On/off switch on cable","129.0000","","7.7000","","258.0000","","","Enabled","No","Catalog, Search","Yes","Taxable Goods","","","","","I love the simple sophistication of this lamp! The matching floor lamp and table lamp is a great way to complete the look!","Crafted from aluminum with a satin finish for an elegant feel.","This unique lamp hides the light source, adding a modern twist to your living space.","Choose from several stylish colors including white, black and yellow.","Complete the look with a collection of floor and table lamps.","","","","","","","","","8.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","M, Black","0","simple","",""
"admin","base","Default","simple","7,26,32","138-GRY","0","Bean Bag, Grey","","","","","","","bean-bag-grey","bean-bag-grey.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","","","","","","","","","","","","","10 - 14 weeks","","","","","","","","","","","Bean Bag, Grey","","No","","","","","","","149.0000","","13.2000","","298.0000","","","Enabled","","Catalog, Search","Yes","Taxable Goods","","","","","","","","","","","","","","","","","","8.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Bean Bag, Grey","0","simple","",""
"admin","base","Default","simple","7,26,32","138-RED","0","Bean Bag, Red","","","","","","","bean-bag-red","bean-bag-red.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","","","","","","","","","","","","","10 - 14 weeks","","","","","","","","","","","Bean Bag, Red","","No","","","","","","","149.0000","","13.2000","","298.0000","","","Enabled","","Catalog, Search","Yes","Taxable Goods","","","","","","","","","","","","","","","","","","8.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Bean Bag, Red","0","simple","",""
"admin","base","Default","simple","7,26,32","138-TUR","0","Bean Bag, Turquoise","","","","","","","bean-bag-turquoise","bean-bag-turquoise.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","","","","","","","","","","","","","10 - 14 weeks","","","","","","","","","","","Bean Bag, Turquoise","","No","","","","","","","149.0000","","13.2000","","298.0000","","","Enabled","","Catalog, Search","Yes","Taxable Goods","","","","","","","","","","","","","","","","","","8.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Bean Bag, Turquoise","0","simple","",""
"admin","base","Default","simple","24","136-WHT","0","M, White","","","","","","","m-white","m-white.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","Clara","Graphic Designer","Playful Modern","/1/3/136-white_context_1.jpg","Built to Last","/1/3/136-white_context_2.jpg","Color Combo","Complete Collection","/1/3/136-white_context_3.jpg","/1/3/136_all_context2_1.jpg","no_selection","no_selection","10 - 14 weeks","","","","","","","","","Not required","","M, White","","No","","Satin chrome - white","","","Requires max 40W* E26 bulb x1 - not included","On/off switch on cable","129.0000","","7.7000","","258.0000","","","Enabled","No","Catalog, Search","Yes","Taxable Goods","","","","","I love the simple sophistication of this lamp! The matching floor lamp and table lamp is a great way to complete the look!","Crafted from aluminum with a satin finish for an elegant feel.","This unique lamp hides the light source, adding a modern twist to your living space.","Choose from several stylish colors including white, black and yellow.","Complete the look with a collection of floor and table lamps.","","","","","","","","","8.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","M, White","0","simple","",""
"admin","base","Default","simple","24","136-YEL","0","M, Yellow","","","","","","","m-yellow","m-yellow.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","Clara","Graphic Designer","Playful Modern","/1/3/136_yellow_thumb2.jpg","Built to Last","/1/3/136-yellow_context2.jpg","Color Combo","Complete Collection","/1/3/136_all_context2_2.jpg","/1/3/136-yellow_context_1.jpg","no_selection","no_selection","10 - 14 weeks","","","","","","","","","Not required","","M, Yellow","","No","","Satin chrome - yellow","","","Requires max 40W* E26 bulb x1 - not included","On/off switch on cable","129.0000","","7.7000","","258.0000","","","Enabled","No","Catalog, Search","Yes","Taxable Goods","","","","","I love the simple sophistication of this lamp! The matching floor lamp and table lamp is a great way to complete the look!","Crafted from aluminum with a satin finish for an elegant feel.","This unique lamp hides the light source, adding a modern twist to your living space.","Choose from several stylish colors including white, black and yellow.","Complete the look with a collection of floor and table lamps.","","","","","","","","","8.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","M, Yellow","0","simple","",""
"admin","base","Default","simple","23","137-BLK","0","B, Black","","","","","","","b-black","b-black.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","Tiffany","Marketing Lead","Playful Modern","/1/3/137_black_context1.jpg","Form and Function","/1/3/137_black_thumb2.jpg","Design Details","Get the Look","/1/3/137_black_context2.jpg","/1/3/137_all_context2_2.jpg","no_selection","no_selection","10 - 14 weeks","","","","","","","","","Not required","","B, Black","","No","","Black","","","Requires max 60W* E26  bulb x1 - not included","On/off switch on cable","149.0000","","12.8000","","298.0000","","","Enabled","No","Catalog, Search","Yes","Taxable Goods","","","","","I love the timeless, elegance of this design! The tripod base and ribbon shade complement each other well!","Composed of three metal rods bundled together and topped with a ribbon shade. This creates a stable arrangement with no need for a heavy base.","Add some color and cheer to your space with this modern tripod lamp. ","The lamp cord is tucked away in the legs to create the clean lines on this beautiful lamp.","Add some color to your space. Available in red, white and black.","","","","","","","","","8.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","B, Black","0","simple","",""
"admin","base","Default","simple","23","137-RED","0","B, Red","","","","","","","b-red","b-red.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","Tiffany","Marketing Lead","Playful Modern","/1/3/137_red_context4.jpg","Form and Function","/1/3/137_red_context2.jpg","Design Details","Get the Look","/1/3/137_red_context5.jpg","/1/3/137_all_context2_1.jpg","no_selection","no_selection","10 - 14 weeks","","","","","","","","","Not required","","B, Red","","No","","Red","","","Requires max 60W* E26  bulb x1 - not included","On/off switch on cable","129.0000","","12.8000","","258.0000","","","Enabled","No","Catalog, Search","Yes","Taxable Goods","","","","","I love the timeless, elegance of this design! The tripod base and ribbon shade complement each other well!","Composed of three metal rods bundled together and topped with a ribbon shade. This creates a stable arrangement with no need for a heavy base.","Add some color and cheer to your space with this modern tripod lamp. ","The lamp cord is tucked away in the legs to create the clean lines on this beautiful lamp.","Add some color to your space. Available in red, white and black.","","","","","","","","","8.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","B, Red","0","simple","",""
